2026-06-11 10:26:26,057 | INFO | agent.filesystem | [----------] Registrado en EventBus para evento: filesystem.create
2026-06-11 10:26:26,059 | INFO | agent.filesystem | [----------] Registrado en EventBus para evento: filesystem.read
2026-06-11 10:26:26,059 | INFO | agent.filesystem | [----------] Registrado en EventBus para evento: filesystem.append
2026-06-11 10:26:26,059 | INFO | agent.filesystem | [----------] Registrado en EventBus para evento: filesystem.list
2026-06-11 10:26:26,059 | INFO | agent.filesystem | [----------] Registrado en EventBus para evento: filesystem.delete
2026-06-11 10:26:26,059 | INFO | agent.registry | [----------] Agente iniciado: filesystem (eventos: ['filesystem.create', 'filesystem.read', 'filesystem.append', 'filesystem.list', 'filesystem.delete'])
2026-06-11 10:26:26,059 | INFO | agent.system | [----------] Registrado en EventBus para evento: system.info
2026-06-11 10:26:26,060 | INFO | agent.system | [----------] Registrado en EventBus para evento: system.datetime
2026-06-11 10:26:26,060 | INFO | agent.system | [----------] Registrado en EventBus para evento: system.command
2026-06-11 10:26:26,060 | INFO | agent.system | [----------] Registrado en EventBus para evento: system.open_app
2026-06-11 10:26:26,060 | INFO | agent.system | [----------] Registrado en EventBus para evento: system.close_app
2026-06-11 10:26:26,060 | INFO | agent.registry | [----------] Agente iniciado: system (eventos: ['system.info', 'system.datetime', 'system.command', 'system.open_app', 'system.close_app'])
2026-06-11 10:26:26,060 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.navigate
2026-06-11 10:26:26,061 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.click
2026-06-11 10:26:26,061 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.fill
2026-06-11 10:26:26,061 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.submit
2026-06-11 10:26:26,061 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.screenshot
2026-06-11 10:26:26,061 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.get_text
2026-06-11 10:26:26,061 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.get_html
2026-06-11 10:26:26,061 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.wait_for
2026-06-11 10:26:26,062 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.scroll
2026-06-11 10:26:26,062 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.evaluate
